,ID,Tweet,anger,anticipation,disgust,fear,joy,love,optimism,pessimism,sadness,surprise,trust,neutral
0,test_record_1,i could tell that my white clo this review was collected as part of a promotion i could tell that my white clothes were more vibrant after using,1,0,1,0,0,0,0,0,1,0,0,0
1,test_record_2,bissell big green clean machine t love love love highly recommend for anyone no children or animals but still find a lot of value in the machine sweepstakes this review was collected as part of a promotion,0,0,0,0,1,1,1,0,0,0,0,0
2,test_record_3,i was looking for this,0,0,0,0,0,0,0,0,0,0,0,0
3,test_record_4,bissell spot clean professional portable carpet cleaner corded black excellent product this product works i have pets and therefore accidents i have struggled cleaning the spots for years this solved my problem and the stains come out completely it does take some work and time on the spot but well worth it to have clean carpets it have not overly heavy either,0,0,0,0,0,0,0,0,1,0,0,0
4,test_record_5,bissell automate cordless rechargeable hand vacuum w i do not recommend this product the battery does not last and it is not powerful enough to pick up debris,1,0,1,0,0,0,0,0,1,0,0,0
5,test_record_6,people literally order lysol spray and and shit knowing damn well we do not have it we have not had bleach since before the virus even started,1,0,1,0,0,0,0,0,1,0,0,0
6,test_record_7,toilet paper last night the local supermarket put up a wall of toilet paper today it have gone there have a sign saying another toilet paper truck will be in tomorrow what does it say about a society that obsesses over toilet paper i can make a single roll last a week and that have if i eat nothing but apples and oil the other day i saw a guy pushing a shopping cart full of gallons of milk nothing else just milk i saw a lady pushing two shopping carts full of toilet paper nothing else just toilet paper hand sanitizer rubbing alcohol and clorox were gone in every store i went to walmart had a plentiful supply of extra large eggs at for a dozen and a half they also had lots of butter and cheese but the priority is something to wipe your ass with sometimes i despise the species,1,0,1,0,0,0,0,0,0,0,0,0
7,test_record_8,costco clorox on the go disinfecting wipes fresh meadow x count link clorox on the go html clorox on the go disinfecting wipes c fresh meadow c x count product html price retailer costco claims to kill of bacteria and viruses not bad if you are still looking for disinfecting wipes link clorox on the go html clorox on the go disinfecting wipes c fresh meadow c x count product html,0,0,0,0,0,0,0,0,0,0,0,0
8,test_record_9,ecover delicate ml ml order for trade outer worth a try great price and a great product,1,0,0,0,1,0,1,0,0,0,0,0
9,test_record_10,lysol disinfecting wipes lemon count pack of bleach wiped perfect cleaning wipes disinfectant works great on anything in the house,0,0,0,0,1,0,1,0,0,0,0,0
10,test_record_11,febreze registered odor eliminator bissell registered carpet powder i love how clean and refreshing my carpet smells afterward,0,0,0,0,1,1,0,0,0,0,0,0
11,test_record_12,bissell multi surface floor cleaning formula fl oz seemed to work fine no streaks,0,0,0,0,0,0,0,0,0,0,0,0
12,test_record_13,harpic pengiriman cpt spt biasa sdh repeat order ke sekian kali selalu puas barang sampai dgn selamat go ahead pecah bocor,1,0,0,0,0,0,0,0,1,0,0,0
13,test_record_14,male labrador licking nibbling around genital area get a nd opinion from another vet get supply of spray from the vet or another online supplier not using any febreeze by any chance dogs can also be intolerant of certain washings powders etc hope you get it sorted out,1,0,1,0,0,0,0,0,0,0,0,0
14,test_record_15,this stupid clorox ad is taking over my screen,1,0,1,0,0,0,0,0,0,0,0,0
15,test_record_16,bissell myair purifier with high efficiency and carbon filter for small room and home quiet bedroom air cleaner for allergies pets dust dander pollen smoke hair odors timer a home kitchen bought two of these for our bedrooms and they really help we have dogs and i have a trach so this was really needed,0,0,1,0,0,0,1,0,0,0,0,0
16,test_record_17,iu queen is the adele of south korea loudly crying face,0,0,1,0,0,0,0,0,0,0,0,0
17,test_record_18,gatar harpic gatar harpic,0,0,0,1,1,0,0,0,0,0,0,1
18,test_record_19,clorox toiletwand disinfecting refills rainforest rush ct package may vary sanitary you do not have to touch the toilet,1,0,1,0,0,0,0,0,0,0,0,0
19,test_record_20,bissell big green clean machine t works great does a professional job on my rugs super easy to operate this review was collected as part of a promotion,0,0,0,0,1,0,0,0,0,0,0,0
20,test_record_21,febreze fabric freshener spray blossom breeze ml love the smell it makes my home smell so nice and fresh yes i recommend this product,0,0,0,0,1,0,1,0,0,0,0,0
21,test_record_22,coronavirus thieves steal hygiene masks in japan k japanese love wearing masks even when nothing is happening let alone now the latest virus is in town i do not know japanese for stealing but for them to be stealing masks you go know say water don pass garri god knows if this virus enters nigeria we no go see masks wear that have one thing we should be afraid of st,0,0,0,1,0,0,0,0,1,0,0,0
22,test_record_23,affresh dishwasher cleaner tablets formulated to clean inside all machine models soo clean great product i now have a very clean and non stinky dishwasher,0,0,0,0,1,0,0,0,0,0,0,0
23,test_record_24,major leakage i bought these yesterday based on reviews and my week old has leaked out of three diapers just today ridiculous i will go back to seventh gen there was nothing wrong with them i just thought i would see if i could get a similar product for a cheaper price i will stick to paying the extra few dollars,0,0,0,0,0,0,0,0,0,0,0,0
24,test_record_25,let pron just hope your daughter will not die from that shot cumshot that is you can lick her clean when she gets home ya fugly pistol barrel licker,0,0,0,0,0,0,0,0,0,0,0,0
25,test_record_26,clorox wth is she talking about that scarf tied a little too tight around the neck,0,0,0,0,0,0,0,0,0,0,0,0
26,test_record_27,polly dog molly dog bonded pair both need a special home together,0,0,0,0,0,0,0,0,0,0,0,0
27,test_record_28,canceled is also my vote,0,0,0,0,0,0,0,0,0,0,0,0
28,test_record_29,by sonja emily fitch morbidly obese trump is taking the cloroxie hydrox woah the the stupid paranoid delusional liar is lying wait and see,1,0,1,0,0,0,0,0,0,0,0,0
29,test_record_30,okay so the translation of these story titles are i trap ii dating game ii who is good match for me iv good news bad news v one day suddenly i became a magic boy even if i do not read these i am still going to go gulp down some clorox i will sell some in the comments too qwnwaeuwvt okay so the translation of these story titles are i trap ii dating game ii who is good match for me iv good news bad news v one day suddenly i became a magic boy even if i do not read these i am still going to go gulp down some clorox i will sell some in the comments too qwnwaeuwvt,0,0,0,0,0,0,0,0,0,0,0,0
30,test_record_31,destroyed and remade adventures in sam cohen s sarahland what seems to be the early s has fallen into a group of sarahs sarah a sarah b plus me the sarahs are five foot zero and bird boned with dark hair one eats microwaved broccoli with i can not believe it s not butter her room smells perpetually of microwaved broccoli and febrezed over farts they live in a private off campus dorm,1,0,1,0,0,0,0,0,1,0,0,0
31,test_record_32,rt ayo why dis nigga lip poked out like dat lmaaoo uglass nigga box head ass nigga regional manager of a wendys built body ahh nigga can of febreeze neckass nigga scuffed shoe ahh nigga,1,0,1,0,0,0,0,0,0,0,0,0
32,test_record_33,just another reason why he is responsible for the rumbling,0,0,1,0,0,0,0,0,0,0,0,0
33,test_record_34,resolve fl oz multi fabric cleaner and upholstery stain remover terrible does not work waste of money does not work,1,0,1,0,0,0,0,1,0,0,0,0
34,test_record_35,that makes it even worse man you are a middle age guy telling somebody to suck on your nuts growup wait you already did mrclean but hey let us this we had some fun and i am tired of hearing about your nuts,1,0,0,0,0,0,0,0,0,0,0,0
35,test_record_36,charlotte so ghetto my mom was just in a walgreens while it was getting robbed for some fucking lysol fpwqikcd c,0,0,0,0,0,0,0,0,0,0,0,0
36,test_record_37,we are hustlers amid coronavirus fears this couple has made more than reselling lysol wipes get outta here,0,0,0,0,1,0,1,0,0,0,0,0
37,test_record_38,you actually had the nerve to say obama should have kept his mouth shut you should give that dumb ass in the white house whose ass you constantly kiss that advice unlike your idol obama was and is too smart to suggest people ingest or inject bleach or lysol deny that,1,0,1,0,0,0,0,0,0,0,0,0
38,test_record_39,coronavirus chat mar gmt said admins at my job have started spraying lysol spray through the air several times a day i wish they would stop is that even an effective way of cleaning it have definitely not great for our lungs i keep seeing images on fb of people holding up cans of lysol and pointing on the back to where it says on the label that it kills corona virus but i just went and checked the ones in our office and none of them do,0,0,0,0,0,0,0,0,0,0,0,0
39,test_record_40,in a pinch clorox wipes can be used instead of tortillas for burritos enchiladas tacos flautas chimichangas but not tostadas obviously,0,0,1,0,0,0,0,0,0,0,0,0
40,test_record_41,whirlpool affresh washer cleaner tablets does not prevent gray spots on my whites i have tried and tried with affesh but i am giving up i am so tired of my whites being ruined by gray spots on them i was washing my machine every weeks just before i do a load of whites but it does not work i need to find a better product,0,0,1,0,0,0,0,0,1,0,0,0
41,test_record_42,dettol antiseptic germicide l fast delivery within days thank i seller,0,0,0,0,1,0,1,0,0,0,0,0
42,test_record_43,a man in south australia wanted a refund for pack toilet paper and units of l sanitiser he ended up basically getting told to piss off i live in the south a town of about tp is here finally for the past few days but hand sanitizer and lysol are hard to come by rubbing alcohol stays on the shelf for a few hours and we use that in my house,1,1,1,0,0,0,0,0,0,0,0,0
43,test_record_44,does a great job disinfecting on really any surface super easy to use and is a great alternative to super harsh chemicals i love seventh generation because you can be confident that it s the most earth friendly option,0,0,0,0,1,0,0,0,0,0,0,0
44,test_record_45,bissell poweredge pet hardwood floor bagless cleaner l a stick vacuum gray is it hard to use this shape when vacuuming stairs you can take the foot off and use it that way is not stair friendly unless you take it off,1,0,1,0,0,0,0,0,0,0,0,0
45,test_record_46,you are too ignorant to talk to talk to your,1,0,1,0,0,0,0,0,0,0,0,0
46,test_record_47,drop off tomorrow between p m and p m i will be dropping off my donation let us help them get to pairs dropyourgonch,0,0,0,0,0,0,1,0,0,0,0,0
47,test_record_48,accidentally taking grams of shrooms instead of you know if you drink enough bleach you might start seeing some funny things called your parents and you might hear them yelling why would you drink a whole gallon container of clorox,0,0,0,0,0,0,1,0,0,0,0,0
48,test_record_49,love it very recommend i recom this review was collected as part of a promotion love it very recommend i recommend to my friend and family,0,0,0,0,1,1,1,0,0,0,0,0
49,test_record_50,kaboom cleaner as low as deal ganga t dyn h s as k fghzz kaboom cleaner as low as deal ganga t dyn h s as k fghzz,0,0,1,0,0,0,0,0,0,0,0,0
50,test_record_51,fear mongering preppers suck city assholes that live in moms basement they take all the stuff off the shelves before the rural country folks can get to the store canning lids ac units deep freezers lysol laundry sanitizer bleach soaps ect people are bigger assholes during this fake plannedemmic than were before make america suck again,1,0,1,0,0,0,0,0,1,0,0,0
51,test_record_52,lysol disinfectant spray crisp linen oz x oz my go to disinfectant spray lysol brand product has always been my go to this scent is nit offensive the spray can seems to never clog like generic brands,0,0,1,0,0,0,0,0,0,0,0,0
52,test_record_53,they do not have febreze at my local sex store pensive face,1,0,1,0,0,0,0,0,0,0,0,0
53,test_record_54,bissell air smart purifier with high efficiency and carbon filters this bissell air smart purifier comes with high efficiency and carbon filters,0,0,0,0,1,0,1,0,0,0,0,0
54,test_record_55,he s proven himself to be untrustworthy of speaking with citizens health as a priority if he was a ceo of any publicly traded company speaking about clorox and lights as cures he would be fired in a second stop trying to defend the indefensible,0,0,0,0,0,0,0,0,0,0,0,0
55,test_record_56,oxiclean white revive laundry whitener stain remover lbs how to receive better quality products i was very dissatisfied with the delivery of this product it was delivered with the power spilling out into the plastic bag very disappointing,1,0,1,0,0,0,0,0,0,0,0,0
56,test_record_57,selama wabah corona covid jaga kesehatan diri dan rumah anda cara hidup yang bersih dan sehat harpic misalnya meningkatkan kesadaran masyarakat indonesia dalam mencegah penyebaran infeksi virus covid dengan mengedukasi soal kebersihan lewat iklan layanan masyarakat bersama ikatan dokter indonesia terangnya dalam siaran pers yang kami terima pekan ini selain itu ada kampanye brand day rb di aplikasi,0,0,0,0,1,0,0,0,0,0,0,0
57,test_record_58,seventh generation dish liquid soap clementine zest lemongrass scent oz packaging may vary another great th generation product love this so much that i bought a case absolutely no scent fragrance to my sensitive nose love it,0,0,0,0,1,1,1,0,0,0,0,0
58,test_record_59,can you pleasee keep snowdrop forever and also restock the multipurpose spray so every surface in my home can smell like it thanks,0,0,0,0,1,0,1,0,0,0,0,0
59,test_record_60,can just release a pumpkin spiced scent already please,0,1,0,0,1,0,1,0,0,0,0,0
60,test_record_61,clorox toiletwand disposable toilet cleaning system toiletwand storage caddy and disinfecting toiletwand refill heads packaging may vary cleaning heads fall apart ever since the pandemic started the quality of the cleaning heads has suffered two years ago they could withstand scrubbing the toilet bowl now they fall apart as soon as they hit the water in the bowl i am not alone in noticing this judging by the many complaints to clorox on their website something at clorox has changed either personnel wanting to cut corners and save money or lapses in quality control in any case do not buy these,1,0,1,0,0,0,0,0,0,0,0,0
61,test_record_62,hartford investment management co has million stock position in church dwight co inc nyse chd baking soda based products under the arm hammer brand condoms lubricants and vibrators under the trojan brand stain removers cleaning solutions laundry detergents and bleach alternatives under the oxiclean brand battery operated and manual toothbrushes under the spinbrush brand home pregnancy and ovulation test kits under the first,0,0,0,0,0,0,0,0,0,0,0,0
62,test_record_63,alaska airlines not verified kauai to spokane with coronavirus alaska is saying how they are cleaning and disinfecting extra well which is completely incorrect see picture upon wiping down a few seats trays with my lysol wipes the wipe turned black given the current pandemic this is ridiculous and unacceptable in general we love alaska but during these times i would not recommend them for how poorly they are cleaning flights,0,0,1,0,0,0,0,0,0,0,0,0
63,test_record_64,rt ew awficso,0,0,0,0,1,0,0,0,0,0,0,0
64,test_record_65,pine o cleen antibacterial disinfectant multi purpose trigger spray lemon lime ml amazon com au health personal care i like the smell i bought for toilet to spray wipe,0,0,1,0,0,0,0,0,0,0,0,0
65,test_record_66,deepclean deluxe trade mark pet carpet cleaner bissell registered i was amazed at how simple the entire process was my carpets look brand new they dried in no time highly recommend i have cats that vomit hair balls etc humans spilling food drinks on carpets best thing i have bought for my house,0,0,0,0,0,0,0,0,0,0,0,0
66,test_record_67,covid got nothing on us just take a couple gallons of febreze straight to your stomach and you will be good to go,0,0,0,0,0,0,1,0,1,0,0,0
67,test_record_68,swiffers as a fucking community especially str swiffers maybe consider that your jokes about sofia whatshisface include putting a slur repeatedly on people s timelines fucking disgusting,1,0,1,0,0,0,0,0,0,0,0,0
68,test_record_69,i have can of lysol spray disenfectant yrs old it list itself as being effective against corona virus at least yrs ago how did the virus get out to the public thank you,0,0,0,0,0,0,0,0,0,0,0,0
69,test_record_70,happy daylight savings it have a celebration let all that extra light in with windex registered and enjoy its countless benefits znlnhs rzm,0,0,0,0,1,1,1,0,0,0,0,0
70,test_record_71,weiman stainless steel cleaner and polish streak free shine for refrigerators dishwasher sinks range hoods and bbq grills fl oz works great and nice scent works great and nice scent,0,0,0,0,1,0,1,0,0,0,0,0
71,test_record_72,gpgt pastor send to heaven with dettol quote pastor ki siao the rest siao together with him the fact that the gullible and innocent public willingly drink it does not absolve the pastor from wrongdoing he can be arrested for causing death,0,0,0,0,1,0,1,0,0,0,0,0
72,test_record_73,australian court upholds johnson johnson vaginal implants verdict eventuated the case which began in is the biggest class action concerning women s health in australia s history the women have said that the pelvic implants mesh or tape surgically placed to resolve pelvic floor damage such as that commonly caused during childbirth have caused debilitating problems such as urinary incontinence chronic pain,1,0,1,0,0,0,0,0,0,0,0,0
73,test_record_74,yesterday he told people to inject bleach it have scary because there are dicckheads out there what will be injecting dettol,0,0,0,0,0,0,0,0,0,0,0,0
74,test_record_75,bissell proheat x revolution pet pro carpet cleaner this machine is amazing it so much better then renting the rug doctor machine i highly recommend bissell this review was collected as part of a promotion,0,0,1,0,0,0,0,0,0,0,0,0
75,test_record_76,febreze scented candle mediterranean lavender air freshener count grin best i have found so awesome best i have tried even very expensive candles and handmade these candles are perfect not too much or too little scent but just right the baby bear of candles thank you,0,0,0,0,1,0,1,0,0,0,0,0
76,test_record_77,bissell power fresh pet steam hard floor steam cleaner white we purchased this on the advice of a friend and love it it was so easy to use and set up out of the box my year old and i cleaned the house very easily thank you bissell this review was collected as part of a promotion,0,0,0,0,0,0,1,0,0,0,0,0
77,test_record_78,smoothie bowl for the little queen crown green heart drooling face seedling plant based vegan mom kid approved plants getinmybelly donoharm vegan baby breakfast vegan kid smoothie bowl plant power nutrition vegan inspiration easy empowering choices lookintoit for life govegan black vegan homemade brain freeze,0,0,0,0,1,1,1,0,0,0,0,0
78,test_record_79,amazon com bissell pet hair eraser turbo plus lightweight upright vacuum cleaner first time using it after my old sweeper could not handle the dog hair and shreds from his toys absolutely love it made my carpet look new again only thing i do not care for is that it s a little heavy but nothing that stops me from loving it,0,0,0,0,0,0,0,0,1,0,0,0
79,test_record_80,i used a clorox wipe on my roommate have custom wood coffee table and ruined it is this fixable in any way so i took a photo of it this morning to show it in a different light and closer look at the wood the light colored patch is where i tried wiping it off with a damp cloth just water before i figured i should just quit while i am ahead and not risk damaging it further j bruxf j bruxf,0,0,0,0,0,0,0,0,0,0,0,0
80,test_record_81,clorox bath shame on you,1,0,1,0,0,0,0,0,1,0,0,0
81,test_record_82,yuck smells like lysol gross,1,0,1,0,0,0,0,0,0,0,0,0
82,test_record_83,do us all a favor and take a nice gulp of that clorox you loser,0,0,0,0,0,0,1,0,0,0,0,0
83,test_record_84,dettol anti bacterial body wash original refill grin delivered to doorstep item delivered promptly and well packaged,0,0,0,0,1,0,0,0,0,0,0,0
84,test_record_85,i told her multiple times so we do not have lysol and she keeps asking me for lysol imma behave tho,0,0,0,0,0,0,0,0,0,0,0,0
85,test_record_86,if you see this amazon just restocked hand sanitizer back in stock lg glkozq coronavirus supplies restock bwcdeals oruh h lxc if you see this amazon just restocked hand sanitizer back in stock lg glkozq coronavirus supplies restock bwcdeals oruh h lxc,0,0,0,0,0,0,0,0,0,0,0,0
86,test_record_87,shipped quickly i like the the lavender vanilla comfort better,0,0,0,0,0,0,1,0,0,0,0,0
87,test_record_88,my rent jumped a month being wheelchair bound sucks enough now i barely have enough left to buy household needs monthly ssi does not give a realistic living increase yearly we do need help just basic clorox is up a dollar a gallon paper products have skyrocket,1,0,1,0,0,0,0,0,1,0,0,0
88,test_record_89,who was the democratic candidate that said if she won the first thing she would have done was clorox the white house she was onto something infestation roaches rats covid,1,0,1,0,0,0,0,0,0,0,0,0
89,test_record_90,this is awful bought this for my powder room and my gosh it smells nothing like the usual linen and sky smell it have like a sickening candy smell what a waste of money,1,0,1,0,0,0,0,0,0,0,0,0
90,test_record_91,the filter fit perfectly,0,0,0,0,0,0,0,0,0,0,0,0
91,test_record_92,how s your evening ladies and gents look i got them yes they do actually smell incredible apparently like thee alien perfume i have not smelt this but feel i need it maybe wax melts speak no evil monkey face with tears of joy how s your evening ladies and gents look i got them yes they do actually smell incredible apparently like thee alien perfume i have not smelt this but feel i need it maybe wax melts speak no evil monkey face with tears of joy zoflora,0,0,1,0,1,0,0,0,0,0,0,0
92,test_record_93,seventh generation concentrated laundry detergent free clear unscented oz pack of loads the item showed up damaged and leaking the item showed up damaged and leaking,0,0,0,0,0,0,0,0,1,0,0,0
93,test_record_94,bikers motorcycle bikers riders covid lockdown police para kapo ram suntv vijaytv harpic tamil tamil memes advertisment tamil memes tamil funny tamil advertisement tamil funny video jaffna tamil funny memes tamil tamilyshares big boss funny memes bathroom tamil youtube channels sri lanka tamil youtuber tamil song tamil comedy hangover tamil jaffna town hangover tamil hangover memes alan hangover memes tamil friendship songs,0,0,0,0,1,0,1,0,0,0,0,0
94,test_record_95,gaslighting on lysol gate now trump is denying he said what we heard him say gaslighting is not just a fancy word for lying it have an assault on truth evidence and our perception of reality bro it have moronic not dangerous to ask this question which is what it was it have not splitting hairs it have showing how the media is not trustworthy since they blatantly lie and stoke hate and fear between americans for money and many people believe them hook line and sinker the corporate press is the enemy of the people at this time,1,0,1,0,0,0,0,1,1,0,0,0
95,test_record_96,dettol original liquid hand wash refill pouch dettol original liquid hand wash refill pouch good genuine product recieved,1,0,1,0,0,0,0,0,0,0,0,0
96,test_record_97,rania sprayed dettol on me through the phone because i am dirty then she dropped a flower on me through the phone knowing that i am allergic to flowers i think she wants to kill me,1,0,1,0,0,0,0,0,1,0,0,0
97,test_record_98,swiffer pack fl oz pour bottle liquid floor cleaner i have not yet used this refill but i like the solution that came with the wet jet system,0,0,1,0,0,0,0,0,0,0,0,0
98,test_record_99,in search of stone ground cornmeal add your requests here also my brother found lysol at target in the pet section cleaning was wiped out but apparently people don t know to also check there,0,0,0,0,0,0,0,0,0,0,0,0
99,test_record_100,rt ok but how much longer do i got to wait for damn clorox wipes confounded face pouting face,1,0,1,0,1,0,0,0,0,0,0,0
100,test_record_101,bissell barkbath dual use home dog bath deep cleaner i use it on my dog she was very patient while i learned how to use the machine i found it very easy and it did what it was advertised to do this review was collected as part of a promotion written by a customer while visiting bissell com,0,0,1,0,0,0,0,0,0,0,0,0
101,test_record_102,i have so many questions right now,1,0,1,0,0,0,0,0,1,0,0,0
102,test_record_103,super dettol product is always good,0,0,0,0,1,0,1,0,0,0,0,0
103,test_record_104,if you have never used scrubbing bubbles we are not the same ya filthy mcnasty,0,0,0,0,0,0,0,0,0,0,0,0
104,test_record_105,clorox toiletwand disposable toilet cleaning rainforest rush refill count total by clorox toilet wand poor quality i did not find this to be as good as what i have purchased in store they fall apart off the base halfway through cleaning one toilet in the past i could do two toilets with each pad,1,0,1,0,0,0,0,0,0,0,0,0
105,test_record_106,reusable mop pads swiffer wetjet i love these new mop heads i used to spot clean bending over or on my knees now i just spray and wipe so much easier now,0,0,0,0,1,0,0,0,1,0,0,0
106,test_record_107,boomer did you miss your daily dose of lysol,0,0,0,0,0,0,0,0,1,0,0,0
107,test_record_108,i been bleaching everything because my lysol wipes low and i can not find them i hate you all,1,0,1,0,0,0,0,0,1,0,0,0
108,test_record_109,i really enjoyed this scent the fabreze plug products in general are my favorite plug in fragrances to use the scent of the fresh frais is good one to try it s a fresh out doors smell that i really enjoy this review was collected as part of a promotion but the thoughts and the opinions are my own,0,0,0,0,0,0,0,0,0,0,0,0
109,test_record_110,smokable cbd hemp lb shipping classifieds i purchased some a few weeks ago and could not have been more pleased with the professionalism throughout and the product was fantastic two thumbs way up for the seller no pesticides or herbicide used at all i do use method one pps an essential oil product to prevent bug infestation here s a link that describes in detail what exactly method one is as well as ingredients growth efficiency technologies dec,0,0,0,0,0,0,0,0,0,0,0,0
110,test_record_111,dettol mold and mildew remover spray ml pack of packaging may vary did not work do not work on mold,0,0,1,0,0,0,0,0,1,0,0,0
111,test_record_112,well try something like wish i was as beautiful pleading face,0,0,0,0,1,0,0,0,0,0,0,0
112,test_record_113,bissell pet stain eraser cordless carpet titanium cha cha lime so easy to use and clean i usually only buy shark products but i am happy i went with bissell for the price you got to try it,0,0,0,0,1,0,0,0,0,0,0,0
113,test_record_114,rt reaches for the clorox hfzyid zyl,0,0,0,0,1,0,0,0,0,0,0,0
114,test_record_115,great fresh smell this review was collected as part of a promotion i bought this last week my cats seem to like it very much,0,0,0,0,1,0,0,0,0,0,0,0
115,test_record_116,spray her ass down with lysol,1,0,1,0,0,0,0,0,0,0,0,0
116,test_record_117,please tiktok no more lysol ads they are infuriating,0,1,0,0,0,0,0,0,0,0,0,0
117,test_record_118,covid been on a lysol can for years moron,0,0,0,0,0,0,0,0,0,0,0,0
118,test_record_119,bissell spotclean pet pro portable carpet cleaner compact power this product is small compact and very powerful perfect for cleaning cat or dog urine on carpets or couches or just cleaning carpets and couches in general,0,0,1,0,0,0,0,0,0,0,0,0
119,test_record_120,rt i just want lemon lysol back,0,0,0,0,0,0,0,0,0,0,0,0
120,test_record_121,bissell proheat x revolution max clean pet pro full size carpet cleaner with antibacterial formula and bonus tough stain tool home kitchen loud loud like easy plugs loud no suction in power tools wait until you have to prime it to work,1,0,1,0,0,0,0,0,0,0,0,0
121,test_record_122,weiman high traffic hardwood floor polish and restorer natural shine removes scratches leaves protective layer fl oz easy easy to use with mop,0,0,0,0,0,0,0,0,0,0,0,0
122,test_record_123,super great this review was collected as part of a promotion works very well and super sturdy and strong eliminates bad odors and is flexible,0,0,0,0,1,0,1,0,0,0,0,0
123,test_record_124,turbo microfiber mop floor cleaning system inch sweeper with reusable pads and spin mop head with extendable handle household cleaning supplies and tools the best i hated the swiffer wet wipes because it was like cleaning a dirty floor with a napkin so i looked into this product and i love it exactly what i needed it hardly leaves any streak on my wood floor and it pics up all the dirt and dust i am super happy with this product,0,0,0,0,1,0,0,0,1,0,0,0
124,test_record_125,i like to feed it to you idiots you live it do you prefer to kiss where it emanates from it smells like febreeze,0,0,0,0,0,0,1,0,0,0,0,0
125,test_record_126,terrible product from a great company i have used the other scrubbing bubbles products for years i was thrilled to try the new bathroom flushable wipes holy cow i am so beyond disappointed these wipes are almost totally worthless they rip when trying to get them out of the package even when doing it carefully they still rip just when you try to open up the wipe before using and they end up clumping up with minimal use i can not believe that i bought so many packs and will not be using them something must have changed in the last year since most of the reviews for this product are great but the most recent review is a year old,1,0,1,0,0,0,0,0,1,0,0,0
126,test_record_127,re if masks work quote soy milk has shown to stop the virus and no one who protested has caught the virus must suck not being in the party of science keep injecting lysol and drinking fish cleaner and maybe you will not get the virus odd i only recently noticed what a complete moron you are i am usually on top of these things thanks for bringing it to my attention,0,0,0,0,0,0,1,0,0,0,0,0
127,test_record_128,lysol wipe your phones too,0,0,0,0,0,0,0,0,0,0,0,0
128,test_record_129,whatever makes your soul happy do that yellow heart good morning and happy monday i hope you are all well and had a great weekend i was so happy to have picked up these new lovezoflora sprays the other day i chose lemon zing which is my all time favorite scent i have been using them both the last few days and they do not disappoint zoflora eliminates odors kills of bacteria and gives you a hour lasting fragrance zoflora also kills the coronavirus when used as directed have you tried any y whatever makes your soul happy do that yellow heart good morning and happy monday i hope you are all well and had a great weekend i was so happy to have picked up these new lovezoflora sprays the other day i chose lemon zing which is my all time favorite scent i have been using them both the last few days and they do not disappoint zoflora eliminates odors kills of bacteria and gives you a hour lasting fragrance zoflora also kills the coronavirus when used as directed have you tried any yet and if so how do you use yours do not forget to watch my stories to see them in action have an amazing day today yellow heart yellow heart lovezoflora zofloralovespets mrshinchhome staceysolomon mrhinchhome mrs ds cleaning reviews jottiesjournal lauracleanaholic the butterfly community blue monday monday wherethefeckisthesunshine tstwanttoseeme mrshinchhome hincharmy hinch hinching zoflora zofloraaddict disinfectant hinchhaul hinchedhome hinche xpress hincher imahincher hinchersofinstagram,0,0,0,0,1,1,1,0,0,0,0,0
129,test_record_130,great cleaner pleasant fragrance cleans super fast,0,0,0,0,1,0,1,0,0,0,0,0
130,test_record_131,swifferstruggle and swifferstuggie,0,0,1,0,0,0,0,0,0,0,0,0
131,test_record_132,dettol wipes antibacterial bulk surface cleaning multipack of x total wipes packaging may vary out of date out of date wipes leaves a white residue,0,0,0,0,0,0,0,0,0,0,0,0
132,test_record_133,harpic limescale remover pack amazon prime per bottle non prime posted h m ago another household offer from amazon for bottles usually to per bottle subscribe and save also you can usually find this for on offer on many occasions,0,0,1,0,1,0,0,0,0,0,0,0
133,test_record_134,b cjvpit and and better then liquid clorox and and,0,0,0,0,1,0,1,0,0,0,0,0
134,test_record_135,how beaut is the floor length mirror it s how amazing is that smiling face with heart eyes hincher home housetohome interior new build home inspo home decor home sense pri mark interior styling mrshinch interior design home ware haul show home insta home myhome cleaning febreeze insta homes mykitchen dream home girls room girls bedroom decor showmyhome interior house envy home sweet home gray home showy home,0,0,0,0,1,0,0,0,0,0,0,0
135,test_record_136,clorox and a straw seeing as soon as possible in a message,0,1,0,0,0,0,1,0,0,0,0,0
136,test_record_137,bissell best corded bagless lightweight cyclonic and handheld featherwe hcm xbvs o pujjeqjd,0,0,0,0,1,0,1,0,0,0,0,0
137,test_record_138,pool happy work very well for salt chlorinator,0,0,0,0,1,0,1,0,0,0,0,0
138,test_record_139,clorox disinfecting wipes with micro scrubbers crisp lemon ct pack of package may vary love the scent stay moist for quite a long time easily to hard hardened dirt up with just a little scrubbing,0,0,0,0,1,1,1,0,0,0,0,0
